C3D_Name,Column_1_Output_Name,Column_2_Output_Name,Column_3_Output_Name
RShldrAngAccDeg,RShldrFlexExtAngAccDeg,RShldrAddAbdAngAccDeg,RShldrIntExtRotAngAccDeg
RShldrAngVel,RShldrFlexExtAngVel,RShldrAddAbdAngVel,RShldrIntExtRotAngVel
RShldrAngVelDeg,RShldrFlexExtAngVelDeg,RShldrAddAbdAngVelDeg,RShldrIntExtRotAngVelDeg
RShldrMoments,RShldrFlexExtMom,RShldrAddAbdMom,RShldrIntExtRotMom
RShldrPowerTerms,RShldrFlexExtPower,RShldrAddAbdPower,RShldrIntExtRotPower
RShldrPowerTermsNorm,RShldrFlexExtPowerNorm,RShldrAddAbdPowerNorm,RShldrIntExtRotPowerNorm
RShldrThorAngAcc,RShldrThorFlexExtAngAcc,RShldrThorAddAbdAngAcc,RShldrThorIntExtRotAngAcc
RShldrThorAngAccDeg,RShldrThorFlexExtAngAccDeg,RShldrThorAddAbdAngAccDeg,RShldrThorIntExtRotAngAccDeg
RShldrThorAngVel,RShldrThorFlexExtAngVel,RShldrThorAddAbdAngVel,RShldrThorIntExtRotAngVel
RShldrThorAngVelDeg,RShldrThorFlexExtAngVelDeg,RShldrThorAddAbdAngVelDeg,RShldrThorIntExtRotAngVelDeg
RShoulderAnatomyYXY,RShldrAnatPlaneOfElev,RShldrAnatElev,RShldrAnatIntExtRot
RShoulderAngle,RShldrFlexExt,RShldrAddAbd,RShldrIntExtRot
RShoulderForce,RShoulderForceX,RShoulderForceY,RShoulderForceZ
RShoulderMoments,RShldrFlexExtMom,RShldrAddAbdMom,RShldrIntExtRotMom
RShoulderPosition,RShoulderPositionX,RShoulderPositionY,RShoulderPositionZ
RShoulderSWYXY,RShldrShldrWingYPlaneOfElev,RShldrShldrWingElev,RShldrShldrWingIntExtRot
RShoulderThoraxYXY,RShldrThorPlaneOfElev,RShldrThorElev,RShldrThorIntExtRot
RShWingAngle,RShldrWingFlexExt,RShldrWingElevDep,RShldrWingProtRetr
RSJC,RSJCX,RSJCY,RSJCZ
RStickAngle,RStickFlexExt,RStickUlnRadDev,RStickSupPro
RThighAngle,RThighFlexExt,RThighLatFlex,RThighRot
RThoraxtoThighAngle,RThoraxtoThighFlexExt,RThoraxtoThighAddAbd,RThoraxtoThighIntExtRot
RTIP,RTIPX,RTIPY,RTIPZ
RUppArmGlobAngAcc,RUppArmGlobFlexExtAngAcc,RUppArmGlobAddAbdAngAcc,RUppArmGlobIntExtRotAngAcc
RUppArmGlobAngAccDeg,RUppArmGlobFlexExtAngAccDeg,RUppArmGlobAddAbdAngAccDeg,RUppArmGlobIntExtRotAngAccDeg
RUppArmGlobAngVel,RUppArmFlexExtGlobAngVel,RUppArmAddAbdGlobAngVel,RUppArmIntExtRotGlobAngVel
RUppArmGlobAngVelDeg,RUppArmGlobFlexExtAngVelDeg,RUppArmGlobAddAbdAngVelDeg,RUppArmGlobIntExtRotAngVelDeg
RUpperArmGlobalAngle,RUpperArmFlexExt,RUpperArmAddAbd,RUpperArmRot
RWJC,RWJCX,RWJCY,RWJCZ
RWristAngAcc,RWristFlexExtAngAcc,RWristAddAbdAngAcc,RWristIntExtRotAngAcc
RWristAngAccDeg,RWristFlexExtAngAccDeg,RWristAddAbdAngAccDeg,RWristIntExtRotAngAccDeg
RWristAngle,RWristFlexExt,RWristAddAbd,RWristIntExtRot
RWristAngVel,RWristFlexExtAngVel,RWristAddAbdAngVel,RWristIntExtRotAngVel
RWristAngVelDeg,RWristFlexExtAngVelDeg,RWristAddAbdAngVelDeg,RWristIntExtRotAngVelDeg
RWristForce,RWristForceX,RWristForceY,RWristForceZ
RWristMoments,RWristFlexExtMom,RWristAddAbdMom,RWristIntExtRotMom
RWristPosition,RWristPositionX,RWristPositionY,RWristPositionZ
RWristPowerTerms,RWristFlexExtPower,RWristAddAbdPower,RWristIntExtRotPower
RWristPowerTermsNorm,RWristFlexExtPowerNorm,RWristAddAbdPowerNorm,RWristIntExtRotPowerNorm
ShldrAlignAngle,ShldrFlexExt,ShldrLatFlex,ShldrRot
spLEJC,spLEJCX,spLEJCY,spLEJCZ
spLElbowAngle,spLElbowFlexExt,spLElbowAddAbd,spLElbowIntExtRot
spREJC,spREJCX,spREJCY,spREJCZ
spRElbowAngle,spRElbowFlexExt,spRElbowAddAbd,spRElbowIntExtRot
STICH,STICHX,STICHY,STICHZ
StickAngle,StickFlexExt,StickAddAbd,StickIntExtRot
StickOrigin,StickOriginX,StickOriginY,StickOriginZ
suLEJC,suLEJCX,suLEJCY,suLEJCZ
suLElbowAngle,suLElbowFlexExt,suLElbowAddAbd,suLElbowIntExtRot
suREJC,suREJCX,suREJCY,suREJCZ
suRElbowAngle,suRElbowFlexExt,suRElbowAddAbd,suRElbowIntExtRot
ThoraxAngle,ThorFlexExt,ThorLatFlex,ThorRot
ThoraxAngleRot,ThoraxAngleFlexExtMinusStaticOffset,ThoraxAngleLatFlexMinusStaticOffset,ThoraxAngleRotMinusStaticOffset
ThoraxOrigin,ThoraxOriginX,ThoraxOriginY,ThoraxOriginZ
ThorGlobAngAcc,ThorGlobFlexExtAngAcc,ThorGlobLatFlexAngAcc,ThorGlobRotAngAcc
ThorGlobAngAccDeg,ThorGlobFlexExtAngAccDeg,ThorGlobLatFlexAngAccDeg,ThorGlobRotAngAccDeg
ThorGlobAngVel,ThorGlobFlexExtAngVel,ThorGlobLatFlexAngVel,ThorGlobRotAngVel
ThorGlobAngVelDeg,ThorGlobFlexExtAngVelDeg,ThorGlobLatFlexAngVelDeg,ThorGlobRotAngVelDeg
ThorPelAngAcc,ThorPelFlexExtAngAcc,ThorPelLatFlexAngAcc,ThorPelRotAngAcc
ThorPelAngAccDeg,ThorPelFlexExtAngAccDeg,ThorPelLatFlexAngAccDeg,ThorPelRotAngAccDeg
ThorPelAngVel,ThorPelFlexExtAngVel,ThorPelLatFlexAngVel,ThorPelRotAngVel
ThorPelAngVelDeg,ThorPelFlexExtAngVelDeg,ThorPelLatFlexAngVelDeg,ThorPelRotAngVelDeg
ThortoPelAngle,ThortoPelFlexExt,ThortoPelLatFlex,ThortoPelRot
TorsoAngle,TorsoFlexExt,TorsoLatFlex,TorsoRot
TorsoGlobAngAcc,TorsoGlobFlexExtAngAcc,TorsoGlobLatFlexAngAcc,TorsoGlobRotAngAcc
TorsoGlobAngAccDeg,TorsoGlobFlexExtAngAccDeg,TorsoGlobLatFlexAngAccDeg,TorsoGlobRotAngAccDeg
TorsoGlobAngVel,TorsoGlobFlexExtAngVel,TorsoGlobLatFlexAngVel,TorsoGlobRotAngVel
TorsoGlobAngVelDeg,TorsoGlobFlexExtAngVelDeg,TorsoGlobLatFlexAngVelDeg,TorsoGlobRotAngVelDeg
TorsoOrigin,TorsoOriginX,TorsoOriginY,TorsoOriginZ
TorsoPelAngAcc,TorsoPelFlexExtAngAcc,TorsoPelLatFlexAngAcc,TorsoPelRotAngAcc
TorsoPelAngAccDeg,TorsoPelFlexExtAngAccDeg,TorsoPelLatFlexAngAccDeg,TorsoPelRotAngAccDeg
TorsoPelAngVel,TorsoPelFlexExtAngVel,TorsoPelLatFlexAngVel,TorsoPelRotAngVel
TorsoPelAngVelDeg,TorsoPelFlexExtAngVelDeg,TorsoPelLatFlexAngVelDeg,TorsoPelRotAngVelDeg
TorsotoLumAngAcc,TorsotoLumFlexExtAngAcc,TorsotoLumAddAbdAngAcc,TorsotoLumIntExtRotAngAcc
TorsotoLumAngAccDeg,TorsotoLumFlexExtAngAccDeg,TorsotoLumAddAbdAngAccDeg,TorsotoLumIntExtRotAngAccDeg
TorsotoLumAngVel,TorsotoLumFlexExtAngVel,TorsotoLumAddAbdAngVel,TorsotoLumIntExtRotAngVel
TorsotoLumAngVelDeg,TorsotoLumFlexExtAngVelDeg,TorsotoLumAddAbdAngVelDeg,TorsotoLumIntExtRotAngVelDeg
TorsotoPelAngle,TorsotoPelFlexExt,TorsotoPelLatFlex,TorsotoPelRot
TorsotoThorAngle,TorsoThorFlexExt,TorsoThorLatFlex,TorsoThorRot
TorsotovThorAngle,TorsovThorFlexExt,TorsovThorLatFlex,TorsovThorRot
vC7avg,vC7avgX,vC7avgY,vC7avgZ
vLHipAngle,vLHipFlexExt,vLHipAddAbd,vLHipIntExtRot
vLKneeAngle,vLKneeFlexExt,vLKneeAddAbd,vLKneeIntExtRot
vMidSTRNavg,vMidSTRNavgX,vMidSTRNavgY,vMidSTRNavgZ
vMidThoracicAvg,vMidThoraxAvgX,vMidThoraxAvgY,vMidThoraxAvgZ
vPelShldrSepAngle,vShldrSepFlexExt,vShldrSepAlign,vShldrSepRot
vPeltoLumAngle,vPelvisLumbarFlexExt,vPelvisLumbarAddAbd,vPelvisLumbarIntExtRot
vPeltoTorsoAngle,vPelvisTorsoFlexExt,vPelvisTorsoLatFlex,vPelvisTorsoRot
vPeltovThorAngle,vPelvisThorFlexExt,vPelvisThorLatFlex,vPelvisThorRot
vPelvisAngle,vPelvisFlexExt,vPelvisObl,vPelvisRot
vRHipAngle,vRHipFlexExt,vRHipAddAbd,vRHipIntExtRot
vRKneeAngle,vRKneeFlexExt,vRKneeAddAbd,vRKneeIntExtRot
vT10avg,vT10avgX,vT10avgY,vT10avgZ
vThoraxAngle,vThorFlexExt,vThorLatFlex,vThorRot
