Original file: C:\Users\Prasanna\Documents\projects\temp-norm-gui\TestData - Analog\Working Trial.c3d
Date processed: 11-May-2019
Start of phase/cycle with respect to start of entire trial [s]:   6.88
End of phase/cycle with respect to entire trial [s]:   7.43
Analog sampling rate (Hz): 1000.00
Processed with TempNormGUI_v20190510

Frame,% of phase/cycle,Force,Moment,

   NaN,0.00000,0.00000,0.00000,0.00000,-9.32492,92.92117,481.71796,0.00000,0.00000,0.00000,-66763.49219,-74049.71875,15191.23047
   NaN,1.00000,0.00000,0.00000,0.00000,-5.86796,92.36584,480.59044,0.00000,0.00000,0.00000,-65210.33179,-74975.68799,15031.05072
   NaN,2.00000,0.00000,0.00000,0.00000,-9.12384,90.77005,483.28256,0.00000,0.00000,0.00000,-65997.17969,-74509.64844,16014.03027
   NaN,3.00000,0.00000,0.00000,0.00000,-10.25275,88.86570,479.05544,0.00000,0.00000,0.00000,-66015.68335,-73372.57227,15703.22437
   NaN,4.00000,0.73917,-5.72240,30.50163,-13.37819,86.87518,484.01083,5407.40967,-4609.51660,6391.79395,-66525.53906,-73531.28125,13582.53125
   NaN,5.00000,-5.05999,0.87484,62.02026,-12.99857,86.28407,470.10296,13594.81104,-11586.18494,6256.72015,-67283.65820,-72573.07031,13079.43976
   NaN,6.00000,-5.46775,3.63463,95.52225,-12.91142,91.49338,460.63293,19519.69336,-20343.53906,5685.47070,-68464.18750,-72867.07031,13203.10449
   NaN,7.00000,-4.71340,6.42239,132.87599,-12.82115,90.19954,456.55312,26758.51208,-28650.57117,4809.36417,-65338.19287,-71203.39941,13444.37146
   NaN,8.00000,-2.52789,3.58932,153.93454,-13.82326,94.17126,444.88568,28020.72852,-33668.56250,873.94751,-61453.94531,-68671.85156,13849.26563
   NaN,9.00000,2.64945,-5.86523,152.48842,-14.88330,94.14831,437.30635,25603.42798,-34364.65674,-1539.25251,-60922.63721,-66895.51953,13392.41290
   NaN,10.00000,6.08736,-12.90480,154.79370,-13.98979,98.76328,422.54193,24913.54297,-34776.03516,-4854.56396,-60386.43359,-65807.70313,13842.57910
   NaN,11.00000,10.50786,-23.97848,164.77000,-15.66576,96.11505,415.26892,26082.09204,-38293.21533,-6933.75259,-58400.73999,-63291.29834,15925.05859
   NaN,12.00000,13.29518,-31.41457,191.27469,-20.41721,98.23947,406.48431,27553.32422,-41414.40625,-9178.73145,-55246.23828,-62144.22656,15289.36426
   NaN,13.00000,11.03517,-37.33181,210.67947,-19.98302,93.04071,403.34743,26763.27051,-45011.77515,-9116.87158,-54848.78882,-60702.48657,16933.13330
   NaN,14.00000,11.68729,-45.27616,226.81134,-16.57901,86.10080,403.07983,27882.25391,-47723.22266,-9686.19629,-58012.60547,-59460.16016,16366.23145
   NaN,15.00000,11.81798,-50.79606,234.57570,-11.52872,83.39375,388.04834,28892.94836,-48074.25928,-8470.82938,-57133.34961,-58307.42578,17198.97986
   NaN,16.00000,15.04061,-55.01006,229.64746,-6.23721,79.69473,380.52875,27274.81641,-49142.67578,-7002.06152,-55991.30859,-59251.19141,16051.33008
   NaN,17.00000,11.95645,-54.93109,226.79287,0.04775,77.12913,369.97946,30275.61914,-49299.62427,-5536.56427,-54074.24365,-56593.12622,17024.78943
   NaN,18.00000,8.01699,-50.57506,226.26428,0.05130,75.84656,363.91095,29669.60742,-49455.81641,-4105.27539,-51697.42578,-56468.90234,15267.99414
   NaN,19.00000,5.06805,-52.15674,216.52893,3.19877,71.91507,361.12963,33843.91541,-48490.06543,-3505.22827,-51245.11670,-55826.56763,13919.04968
   NaN,20.00000,0.70902,-53.17402,219.73439,1.43791,72.22891,357.72333,33991.10156,-47358.17969,-4183.76416,-51683.44922,-54229.90625,11751.19434
   NaN,21.00000,-0.25447,-52.58721,211.23510,1.42422,68.00365,352.51063,33540.31592,-47487.54834,-4582.15668,-51048.06909,-53961.74292,9873.88428
   NaN,22.00000,-1.71356,-54.81142,211.94502,2.28645,66.98584,348.60788,33525.74219,-45955.12891,-6913.82861,-51896.19922,-52647.44922,8271.95215
   NaN,23.00000,0.58113,-56.46492,220.51599,-1.22371,63.77333,345.52889,30639.35303,-47361.57983,-7976.78799,-50116.23926,-52606.00757,7111.65353
   NaN,24.00000,0.67838,-58.61211,231.35930,-2.78749,64.66122,331.04065,28326.55078,-48186.94141,-10803.75000,-47228.52734,-50157.02344,6173.00244
   NaN,25.00000,3.88326,-61.94781,241.41962,-3.02031,63.71851,327.87859,28134.68921,-49992.09277,-10849.44824,-48161.07715,-49327.03247,5158.96625
   NaN,26.00000,6.46424,-62.00730,245.52299,-1.29439,65.30457,316.64270,32063.85156,-53633.71484,-12152.92969,-47081.10156,-48659.25781,6520.37793
   NaN,27.00000,6.37880,-59.90820,250.74480,-2.77373,67.62820,306.63123,31247.40173,-55072.24512,-12886.83960,-42862.22900,-46320.67310,7174.18781
   NaN,28.00000,4.34244,-58.15852,260.54282,-10.11198,68.34323,307.89722,32419.88477,-55268.71875,-11173.56348,-39682.25781,-45326.98047,7623.17920
   NaN,29.00000,5.85979,-61.37097,270.82397,-12.98797,66.52693,302.91781,32914.29932,-57452.97534,-11897.06445,-41676.75659,-43332.48486,7829.06445
   NaN,30.00000,1.32662,-64.08200,283.27170,-13.01808,61.76974,298.34094,36185.98047,-58685.92969,-12535.34668,-42210.61328,-42719.01953,8139.36621
   NaN,31.00000,-0.48525,-66.80994,289.75142,-15.37564,57.15122,295.64028,35228.45264,-60266.97485,-12521.24841,-43398.90405,-42126.40430,7279.81097
