Original file: C:\Users\Prasanna\Documents\projects\temp-norm-gui\TestData - Analog\Working Trial.c3d
Date processed: 11-May-2019
Start of phase/cycle with respect to start of entire trial [s]:   6.88
End of phase/cycle with respect to start of entire trial [s]:   7.43
Video sampling rate (Hz): 100.00
Processed with TempNormGUI_v20190510

Frame,% of phase/cycle,LAnkleFlexExtPower,LAnkleInvEvPower,LAnkleAddAbdPower,LHipFlexExt,LHipAddAbd,LHipIntExtRot,LHipFlexExtMom,LHipAddAbdMom,LHipIntExtRotMom,LHipFlexExtPower,LHipAddAbdPower,LHipIntExtRotPower,LKneeFlexExt,LKneeAddAbd,LKneeIntExtRot,LKneeFlexExtMom,LKneeAddAbdMom,LKneeIntExtRotMom,LKneeFlexExtPower,LKneeAddAbdPower,LKneeIntExtRotPower,RAnkleFlexExtPower,RAnkleInvEvPower,RAnkleAddAbdPower,RHipFlexExt,RHipAddAbd,RHipIntExtRot,RHipFlexExtMom,RHipAddAbdMom,RHipIntExtRotMom,RHipFlexExtPower,RHipAddAbdPower,RHipIntExtRotPower,RKneeFlexExt,RKneeAddAbd,RKneeIntExtRot,RKneeFlexExtMom,RKneeAddAbdMom,RKneeIntExtRotMom,RKneeFlexExtPower,RKneeAddAbdPower,RKneeIntExtRotPower,
   NaN,0.00000,0.22236,0.13064,0.70920,99.62766,-6.04102,-3.77217,2.25024,-6.33728,5.08524,-0.19758,1.22479,-7.44475,42.82610,21.83760,-22.85843,6.95134,-3.13541,-0.69896,-14.30633,0.38189,1.84971,14.96279,3.90301,-1.70068,68.23527,20.02633,-33.39474,-19.57139,-46.01323,3.57462,31.34874,-4.23052,10.70977,124.18497,-44.63683,-94.74171,-44.50477,84.85474,15.15445,-28.95385,-86.44402,0.36462
   NaN,1.00000,0.09057,0.16769,0.53065,99.59383,-5.72270,-3.70330,4.66685,-7.54571,3.63040,-0.51176,0.98904,-7.46678,42.42770,21.71412,-22.50301,5.58397,-2.66264,-1.43185,-8.81421,0.06133,0.64347,14.64754,4.27570,-1.49075,68.00313,19.88674,-33.51875,-14.99744,-48.32371,7.26482,31.20594,-4.59887,12.21281,124.66455,-44.48448,-95.14591,-46.63301,81.85028,13.75813,-29.37401,-84.72468,0.86159
   NaN,2.00000,0.00965,0.19590,0.32771,99.55246,-5.44070,-3.61391,8.11950,-8.38754,1.88658,-1.29055,0.49709,-7.13695,42.14649,21.65403,-22.26233,4.00026,-2.00449,-2.04226,-4.56251,-0.10547,0.04596,14.27262,4.30920,-0.99460,67.74337,19.74235,-33.63257,-10.99319,-48.87087,9.13918,30.49952,-4.01530,13.39708,125.14994,-44.33096,-95.54139,-47.90411,81.60465,12.90441,-31.23310,-83.87040,1.02589
   NaN,3.00000,-0.01754,0.21928,0.08671,99.50465,-5.19623,-3.49905,12.68533,-8.82811,-0.20745,-2.54460,-0.34137,-6.37478,41.99063,21.66069,-22.12497,2.15835,-1.13216,-2.55329,-1.47098,-0.14643,0.03809,13.82716,3.94703,-0.21781,67.45534,19.59496,-33.73762,-7.37940,-47.39352,8.67933,29.07618,-2.35058,14.35626,125.64268,-44.17711,-95.93072,-48.03782,84.99431,12.62634,-35.05828,-84.28011,0.78961
   NaN,4.00000,0.00277,0.33457,-0.27287,99.44400,-4.98310,-3.38426,18.66609,-9.14797,-2.48297,-4.43986,-1.06357,-5.65967,41.91733,21.71694,-22.15319,0.08449,-0.04304,-2.90048,-0.22191,0.14720,1.01018,13.33283,3.49226,0.88072,67.14254,19.43483,-33.82638,-5.13897,-45.28693,8.78194,27.70746,-0.28860,14.56722,126.13471,-44.01808,-96.29993,-48.64778,87.20585,12.77668,-37.96445,-83.79381,0.51879
   NaN,5.00000,0.07987,0.70180,-0.94898,99.36860,-4.80038,-3.27419,26.96634,-9.52107,-5.08847,-7.27461,-1.59039,-5.15571,41.91805,21.82002,-22.36222,-2.44723,1.44701,-3.13865,-1.26374,0.89163,3.38690,12.75170,3.01344,2.32349,66.80573,19.25969,-33.89731,-4.51877,-42.85928,10.23668,26.50819,2.02713,13.88772,126.62445,-43.85243,-96.64568,-50.22732,87.02161,13.35721,-39.23317,-81.90044,0.29812
   NaN,6.00000,0.03692,-1.80850,2.41876,99.28488,-4.63878,-3.19194,20.14829,-7.57073,-3.94578,-5.46194,-1.21954,-3.73793,41.96439,21.94858,-22.74767,-0.62979,-0.50407,-1.56290,0.81432,0.67128,0.06964,12.90947,2.56163,3.87249,66.44564,19.06856,-33.94676,-5.25819,-40.41482,10.86479,26.74333,4.30249,12.65917,127.10659,-43.68498,-96.96844,-50.47199,86.12993,13.63212,-39.69656,-78.58255,0.14182
   NaN,7.00000,-0.16822,-6.62787,8.73012,99.19518,-4.49702,-3.14058,-0.33026,-3.63096,0.42840,0.33739,-0.11741,-1.54951,42.05564,22.09851,-23.29927,5.19040,-5.57032,1.39303,6.30748,-0.38585,-8.19260,13.82488,2.13302,5.50998,66.06214,18.86215,-33.97437,-7.27459,-38.03069,10.67378,28.44282,6.49688,10.93768,127.58057,-43.51693,-97.26926,-49.44479,84.62729,13.63575,-39.35662,-73.99086,0.05757
   NaN,8.00000,-1.14548,-8.17259,6.34894,99.11491,-4.36714,-3.13865,-20.32031,-0.75283,2.59765,3.56112,0.10557,0.11091,42.18845,22.24491,-23.94873,12.07008,-10.47767,1.18834,18.66563,-1.05981,-13.72352,15.58723,1.66059,7.25272,65.65431,18.64552,-33.97831,-10.28560,-36.47596,10.00072,32.19755,8.36760,9.08767,128.04377,-43.35629,-97.55609,-47.97497,82.87903,13.95227,-37.95454,-69.35542,0.10834
   NaN,9.00000,-2.11447,-7.37533,0.06434,99.04971,-4.24862,-3.18779,-36.82673,0.76136,3.65686,4.45145,-0.25708,1.05733,42.37484,22.37971,-24.65847,17.88198,-14.86148,-0.40519,32.35238,-1.10370,-17.00846,17.91500,1.18970,8.82064,65.22148,18.42135,-33.95847,-13.40072,-35.12306,9.10795,36.40489,9.90251,7.18103,128.49486,-43.20476,-97.83094,-46.35626,81.33918,14.19881,-35.93204,-64.77410,0.26017
