Original file: C:\Users\Prasanna\Documents\projects\temp-norm-gui\TestData - Analog\Working Trial.c3d
Date processed: 14-May-2019
Processed with TempNormGUI_v20190510
-999 indicates the event did not occur within the phase of interst

Phase,StartEvent,EndEvent,G1_Time,G1_Pct,G2_Time,G2_Pct,
P1,G1,G2,  0.00,     0,  0.55,   100,
